移动互联网电视,#genre#
厦门3FHD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8#http://39.135.230.80/ott.fj.chinamobile.com/PLTV/88888888/224/3221226760/index.m3u8
厦门2FHD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8#http://39.135.230.76/ott.fj.chinamobile.com/PLTV/88888888/224/3221226777/index.m3u8
厦门卫视FHD,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8#http://39.135.230.83/ott.fj.chinamobile.com/PLTV/88888888/224/3221226814/index.m3u8
凤凰卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227222/index.m3u8
咪咕视频,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227158/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227047/index.m3u8
广东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/index.m3u8
浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225934/index.m3u8
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225826/index.m3u8
湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/index.m3u8
东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/index.m3u8
天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225941/index.m3u8
江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/index.m3u8
湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/index.m3u8
山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/index.m3u8
江苏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225847/index.m3u8
深圳卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225938/index.m3u8
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/index.m3u8
重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225949/index.m3u8
四川卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225835/index.m3u8
广西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225836/index.m3u8
河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225837/index.m3u8
贵州卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225838/index.m3u8
山西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225839/index.m3u8
青海卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225841/index.m3u8
河南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225842/index.m3u8
甘肃卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225845/index.m3u8
内蒙古卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225846/index.m3u8
宁夏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225849/index.m3u8
陕西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225850/index.m3u8
吉林卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225851/index.m3u8
新疆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225852/index.m3u8
云南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225853/index.m3u8
旅游卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225855/index.m3u8
康巴卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225856/index.m3u8
金鹰卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225870/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8
卡酷少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225871/index.m3u8
炫动卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225872/index.m3u8
优漫卡通,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225874/index.m3u8
CETV1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225869/index.m3u8
SEDTV,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225873/index.m3u8
GCTN,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225822/index.m3u8
GCTN纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225813/index.m3u8
超级体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225803/inde.m3u8
超级电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225804/index.m3u8
爱情喜剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225877/index.m3u8
动画王国,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8
动作电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225879/index.m3u8
古装剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225880/index.m3u8
海外剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225881/index.m3u8
家庭剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225882/index.m3u8
健康有约,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225883/index.m3u8
金牌综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225884/index.m3u8
惊悚悬疑,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225885/index.m3u8
精品体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225886/index.m3u8
军旅剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225887/index.m3u8
精品纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225888/index.m3u8
精品大剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225889/index.m3u8
军事评论,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225890/index.m3u8
精品电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225891/index.m3u8
明星大片,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225893/index.m3u8
完美游戏,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225894/index.m3u8
都市剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227204/index.m3u8
中国功夫,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225896/index.m3u8
动漫秀场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227071/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226141/index.m3u8
北京纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/index.m3u8
上海纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225946/index.m3u8
全纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227083/index.m3u8
时尚生活,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227087/index.m3u8
黑莓动画,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/index.m3u8
动画1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226743/index.m3u8
动画2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226741/index.m3u8
动画3,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226732/index.m3u8
熊猫基地,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226715/index.m3u8
SiTV游戏风云,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227075/index.m3u8#http://39.135.230.71/ott.fj.chinamobile.com/PLTV/88888888/224/3221226912/index.m3u8
哒啵赛事,http://39.135.230.71/ott.fj.chinamobile.com/PLTV/88888888/224/3221225894/index.m3u8#http://39.135.230.83/ott.fj.chinamobile.com/PLTV/88888888/224/3221226680/index.m3u8
百视通轮播(谍战),http://39.135.230.66/ott.fj.chinamobile.com/PLTV/88888888/224/3221227045/index.m3u8
百视通轮播(科幻)[1280*720],http://39.135.230.79/ott.fj.chinamobile.com/PLTV/88888888/224/3221227037/index.m3u8
百视通轮播3,http://39.135.230.79/ott.fj.chinamobile.com/PLTV/88888888/224/3221227130/index.m3u8
百视通轮播(动画),http://39.135.230.75/ott.fj.chinamobile.com/PLTV/88888888/224/3221227053/index.m3u8
百视通轮播(电影),http://39.135.230.75/ott.fj.chinamobile.com/PLTV/88888888/224/3221227032/index.m3u8
影视4,http://39.135.230.82/ott.fj.chinamobile.com/PLTV/88888888/224/3221226754/index.m3u8
影视5,http://39.135.230.86/ott.fj.chinamobile.com/PLTV/88888888/224/3221226732/index.m3u8
影视6,http://39.135.230.86/ott.fj.chinamobile.com/PLTV/88888888/224/3221226712/index.m3u8
影视7,http://39.135.230.80/ott.fj.chinamobile.com/PLTV/88888888/224/3221226743/index.m3u8
影视9,http://39.135.230.72/ott.fj.chinamobile.com/PLTV/88888888/224/3221225893/index.m3u8
金色学堂,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227206/index.m3u8
中国教育1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227067/index.m3u8
中国教育2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227206/index.m3u8
中国教育4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227192/index.m3u8
